Station Code,Monitoring Location,State,Temperature (°C) Min,Temperature (°C) Max,Dissolved Oxygen(mg/L) Min,Dissolved Oxygen(mg/L) Max,pH Min,pH Max,Conductivity(µmho/cm) Min,Conductivity(µmho/cm) Max,BOD(mg/L) Min,BOD(mg/L) Max,Nitrate N(mg/L) Min,Nitrate N(mg/L) Max,Fecal Coliform(MPN/100ml) Min,Fecal Coliform(MPN/100ml) Max,Total Coliform(MPN/100ml) Min,Total Coliform(MPN/100ml) Max,Fecal Streptococci(MPN/100ml) Min,Fecal Streptococci(MPN/100ml) Max
3051,"BUDAMERU CANAL NEAR BDG AT NH-5, KEESARAPALLI (V),
GANNAVARAM (M)",ANDHRA PRADESH,24,25,1.6,3.1,6.7,8,810,1420,9,23,2.7,7.9,120,260,1100,4900,11,75
4356,"ELERU CANAL, NEAR PHARMA CITY,THADI (V),PARAVADA (M)",ANDHRA PRADESH,25,30,4.5,6.5,7.3,8.3,275,381,1.1,2.8,0.3,0.9,3,21,75,460,2,3
4370,"KRISHNA CANAL AT HANUMAN NAGAR, NEAR
SAIBABA TEMPLE, ELURU",ANDHRA PRADESH,22,28,4.2,8.4,7.5,8,132,1695,1.2,2.8,0.3,2.9,7,21,120,460,,
2354,"SAMARLA KOTA CANAL,SAMARLA KOTA (V &
M)",ANDHRA PRADESH,25,27,3.4,7,6.3,8.4,241,506,2.4,5.2,0.3,2.9,7,28,64,1100,4,4
4374,"GOSTTA NADI- VELPURU CANAL AT HANUMAN TEMPLE, DOWNSTREAM OF TANUKU
TOWN, TANUKU",ANDHRA PRADESH,22,30,3.4,8.1,7.2,8.4,130,656,1.6,4.2,0.3,8.6,4,11,120,240,,
2057,"AGRA CANAL, MADANPUR
KHADAR, DELHI",DELHI,,,0.3,1.5,6.9,7.7,,,32,46,,,110000,340000,,,,
1479,"WESTERN YAMUNA CANAL AT
HAIDERPUR WATER WORKS,
DELHI",DELHI,,,,,7.1,7.8,,,,,0.3,0.6,,,,,,
2265,"CANAL UP STREAM OF CUNCOLIM INDL.EST. CUNCOLIM, SALCETE (1 KM FROM M/S NICOMENT
INDUSTRIES)",GOA,27,31,5,7.4,5.7,7.3,33,129,1,1.7,0.3,0.8,1100,2200,1400,9200,140,540
2266,"CANAL DOWNSTREAM OF CUNCOLIM INDL.EST. CUNCOLIM, SALCETE (NEAR
RAILWAY BRIDGE)",GOA,26,31,4.4,8.2,5.9,7.4,32,749,1,2,0.3,1.6,200,2700,400,7900,78,920
2268,"CUMBARJUA CANAL CORLIM(DISCHARGE POINT OF
SYNGENTA LIMITED)",GOA,26,30,4.2,7.5,6.7,7.8,335,52430,1.1,1.9,0.3,0.6,140,2700,920,3500,79,270
2073,"NARMADA MAIN CANAL, NR. VILLAGE. LIMBADIA, DIST. GANDHINAGAR.NARMADA
CANAL AT LIMBADIYA",GUJARAT,27,33,4.8,7.6,7.4,8.3,212,384,1,1.3,0.3,1.3,2,2,4,21,,
4421,"FROM NARMADA MAIN CANAL AT INDORAHMEDABAD HIGHWAY BRIDGE NEAR VILLAGE MOTIKANTADI TAL, GODHRA, DIST PANCHMAHALNARMADA MAIN CANAL AT INDOR- AHMEDABAD HIGHWAY, VILLAGE MOTI KANTADI, TAL.
GODHRA, DIST.",GUJARAT,24,29,7.5,8.7,7.5,8.5,224,364,1,1,0.3,1,2,9,7,33,,
2074,"TAPI CANAL AT VILLAGE UMARWADA, NEAR GIDC ESTATE OF PANOLI.AT VILLAGE UMARVADA, TA:
ANKLESHWAR, DIST BHARUCH",GUJARAT,27,35,7,8.2,8,8.4,162,480,1,1,0.3,0.8,2,21,20,79,,
4858,AGRA CANAL AT VILLAGE MANDKOLA IN NUH DIST.,HARYANA,18,35,3.6,6.4,7.1,7.8,1430,2960,21,42,0.3,0.3,1700,6200,2300,70000,1300,3300
4859,"CONFLUENCE OF SOUTHERN
GHAGGAR CANAL, SHERANWALI PARALLEL GHAGGAR CANAL AND HISAR
GHAGGAR DRAIN",HARYANA,,,5.6,6.2,7.6,8.2,804,1020,8,10,,,1500,9600,6200,18000,1800,4500
1419,"GURGAON CANAL, GC-1,
(NEAR BADARPUR BORDER)",HARYANA,18,36,5.2,6.8,6.9,7.9,920,1870,15,28,0.3,5.2,3300,6000,15000,40000,900,24000
