Station Code,Monitoring Location,Type,State,Temperature (°C) Min,Temperature (°C) Max,Dissolved Oxygen(mg/L) Min,Dissolved Oxygen(mg/L) Max,pH Min,pH Max,Conductivity(µmho/cm) Min,Conductivity(µmho/cm) Max,BOD(mg/L) Min,BOD(mg/L) Max,Nitrate N(mg/L) Min,Nitrate N(mg/L) Max,Fecal Coliform(MPN/100ml) Min,Fecal Coliform(MPN/100ml) Max,Total Coliform(MPN/100ml) Min,Total Coliform(MPN/100ml) Max,Fecal Streptococci(MPN/100ml) Min,Fecal Streptococci(MPN/100ml) Max
4369,"COLLING WATER BLOW DOWNS FROM ANDHRA SUGARS LTD., KOVVUR, BEFORE JOINING RIVER
GODAVARI",DRAIN,ANDHRA PRADESH,25,32,5.8,7.2,6.8,7.9,249,482,1.2,2.6,0.3,2.1,3,14,21,150,,
3052,"GUNTATHIPPA DRAIN B/C WITH RIVES CANAL AT RAMAVARAPPADU,
VIJAYAWADA TOWN",DRAIN,ANDHRA PRADESH,22,25,0.3,1.8,6.9,7.9,1548,2280,17.8,37,5.5,8.8,440,470,2300,5200,21,240
2355,"TEKI DRAIN AT TALLAREVU, TALLAREVU (V & M), BEFORE JOINING CORINGA WILDLIFE
SANCTUARY",DRAIN,ANDHRA PRADESH,24,26,3.4,6.4,6.7,7.8,488,19470,2.8,5.8,1.1,3.2,7,15,120,460,,
3053,"TULIA BAGH DRAIN AT MATLAPALEM (V),
VEMULAVADA (M)",DRAIN,ANDHRA PRADESH,24,26,4.9,6.9,6.7,7.6,525,24500,2.4,3.6,0.8,3.3,3,20,75,460,4,4
20004,STP AT RAJAHMUNDRY,STP,ANDHRA PRADESH,,,6.4,7.2,6.5,7.6,574,1573,10,14,3,9.4,9,21,150,460,,
2047,"N-CHOE (ATTAWA CHOE), CHANDIGARH(EXIT
POINT)",DRAIN,CHANDIGARH,15,29,0.3,8.8,7.1,7.8,150,793,3,118,0.9,4.3,330,260000,1100,940000,,
2048,"PATIALA KI RAO, CHANDIGARH(EXIT
POINT)",DRAIN,CHANDIGARH,14,30,0.3,2.8,7.5,7.9,756,900,35,254,1.5,3.2,70000,7000000,170000,70000000,,
2049,"SUKHNA CHOE, CHANDIGARH(EXIT
POINT)",DRAIN,CHANDIGARH,14,32,0.3,0.3,7,7.9,784,1254,35,262,0.9,2.9,110000,1700000,220000,11000000,,
5268,ABU FAZAL DRAIN,DRAIN,DELHI,,,,,7.1,7.6,,,40,54,,,,,,,,
1505,"BARAPULA DRAIN,
DELHI",DRAIN,DELHI,,,,,7.2,7.9,,,37,76,,,,,,,,
1501,"BURARI DRAIN B/C WITH NAZAFGARH
DRAIN, DELHI",DRAIN,DELHI,,,,,7.2,7.8,,,39,48,,,,,,,,
1502,"CIVIL MILL DRAIN,
DELHI",DRAIN,DELHI,,,,,7,7.3,,,40,52,,,,,,,,
5267,DRAIN NO. 14,DRAIN,DELHI,,,,,7.5,7.5,,,21,21,,,,,,,,
5263,ISBT + MORI GATE DRAIN,DRAIN,DELHI,,,,,7.2,7.8,,,36,50,,,,,,,,
5269,JAITPUR DRAIN,DRAIN,DELHI,,,,,7.1,7.9,,,35,54,,,,,,,,
5266,KAILASH NAGAR DRAIN,DRAIN,DELHI,,,,,7,7.6,,,30,58,,,,,,,,
5261,KHYBER PASS DRAIN,DRAIN,DELHI,,,,,7.4,7.4,,,30,30,,,,,,,,
5259,MAGZINE ROAD DRAIN,DRAIN,DELHI,,,,,7.3,7.3,,,38,38,,,,,,,,
1857,"MAHARANI BAGH DRAIN, DELHI",DRAIN,DELHI,,,,,7,7.7,,,42,50,,,,,,,,
5262,METCALF HOUSE DRAIN,DRAIN,DELHI,,,,,7.1,7.2,,,20,28,,,,,,,,
5275,MOLARBANDH DRAIN,DRAIN,DELHI,,,,,6.8,7.7,,,27,48,,,,,,,,
1377,"NAJAFGARH DRAIN AT WAZIRABAD BEFORE CONF. TO
RIV.YAMUNA, DELHI",DRAIN,DELHI,,,,,7.1,7.5,,,42,60,,,,,,,,
5271,OLD AGRA CANAL AT OKHLA,DRAIN,DELHI,,,,,7.2,7.3,,,43,45,,,,,,,,
5273,"OLD AGRA CANAL NEAR KALINDI KUNJ -
SARITA VIHAR PULL",DRAIN,DELHI,,,,,7,7.6,,,33,48,,,,,,,,
1503,"POWER HOUSE DRAIN, DELHI",DRAIN,DELHI,,,,,6.5,7.6,,,36,58,,,,,,,,
1858,"SARITA VIHAR, DELHI",DRAIN,DELHI,,,,,7.4,7.7,,,26,32,,,,,,,,
1504,"SEN NURSING HOME DRAIN, DELHI",DRAIN,DELHI,,,,,7.1,7.4,,,40,56,,,,,,,,
1506,"SHAHDARA DRAIN,
DELHI",DRAIN,DELHI,,,,,7,7.9,,,49,60,,,,,,,,
5265,SHASTRI PARK DRAIN,DRAIN,DELHI,,,,,6.8,7.5,,,27,40,,,,,,,,
5276,SONIA VIHAR DRAIN,DRAIN,DELHI,,,,,6.9,7.6,,,36,63,,,,,,,,
5260,"SWEEPER COLONY
DRAIN",DRAIN,DELHI,,,,,7.3,7.6,,,40,40,,,,,,,,
5264,TONGA STAND DRAIN,DRAIN,DELHI,,,,,7.2,7.2,,,25,25,,,,,,,,
5270,TUGHLAKABAD DRAIN,DRAIN,DELHI,,,,,7,7.8,,,32,64,,,,,,,,
3041,"WATER WORKS- WAZIRABAD, DELHI","WATER TREATMENT PLANT (RAW
WATER)",DELHI,,,7.1,7.1,6.9,7.5,,,6.5,6.5,0.3,0.7,5500,5500,,,,
