Station Code,Monitoring Location,State,Type,full_address,Latitude,Longitude,Avg_Temp,Avg_Humidity,Avg_Wind,Weather_Main,Region_Cluster,Temperature (°C) Min,Temperature (°C) Max,Dissolved Oxygen(mg/L) Min,Dissolved Oxygen(mg/L) Max,pH Min,pH Max,Conductivity(µmho/cm) Min,Conductivity(µmho/cm) Max,BOD(mg/L) Min,BOD(mg/L) Max,Nitrate N(mg/L) Min,Nitrate N(mg/L) Max,Fecal Coliform(MPN/100ml) Min,Fecal Coliform(MPN/100ml) Max,Total Coliform(MPN/100ml) Min,Total Coliform(MPN/100ml) Max,Fecal Streptococci(MPN/100ml) Min,Fecal Streptococci(MPN/100ml) Max,WQI_Min,WQI_Max,WQI_Average
1448.0,"River Nagavali At Thotapalli Regulator, Thotapalli (V), Garugubilli (M)",Andhra Pradesh,,"River Nagavali At Thotapalli Regulator, Thotapalli (V), Garugubilli (M), Andhra Pradesh, India",18.784865,83.5090195,29.14,71.0,2.15,Clouds,1,24.0,34.0,5.7,7.3,7.0,8.4,219.0,655.0,1.2,2.8,0.3,6.42,3.0,20.0,75.0,150.0,2.0,3.0,23.60911413123069,42.66009074551837,33.13460243837453
4351.0,"River Nagavali Immediate Border Between Andhra Pradesh & Orissa States, Near Sivalayam, Kuneru (V), Komarada (M)",Andhra Pradesh,,"River Nagavali Immediate Border Between Andhra Pradesh & Orissa States, Near Sivalayam, Kuneru (V), Komarada (M), Andhra Pradesh, India",18.9677927,83.43500619999999,27.1,82.0,2.05,Clouds,1,24.0,34.0,5.2,7.5,6.8,8.3,192.0,501.0,1.0,2.9,0.32,3.3,7.0,20.0,120.0,240.0,2.0,3.0,21.575945104531105,42.47976618803664,32.027855646283875
4346.0,"River Nagavali Near Nh- 16 Bridge, Upstream (U/S) Of Srikakulam Town, Before Confluence Of Town Sewage",Andhra Pradesh,,"River Nagavali Near Nh- 16 Bridge, Upstream (U/S) Of Srikakulam Town, Before Confluence Of Town Sewage, Andhra Pradesh, India",18.3142332,83.8755627,30.0,72.0,2.07,Clouds,1,24.0,37.0,5.8,7.6,6.4,8.4,289.0,396.0,1.3,2.6,0.32,2.12,4.0,11.0,120.0,240.0,2.0,3.0,20.794839474967144,40.392696574968504,30.593768024967822
4347.0,"River Nagavali Near Water Pump House (Killipalem) , Down Stream (D/S) Of Srikakulam Town, After Confluence Of Town Sewage",Andhra Pradesh,,"River Nagavali Near Water Pump House (Killipalem) , Down Stream (D/S) Of Srikakulam Town, After Confluence Of Town Sewage, Andhra Pradesh, India",18.27089033430217,83.9106808595696,29.98,73.0,2.47,Clouds,1,24.0,37.0,5.4,8.0,6.3,8.5,275.0,398.0,1.5,2.7,0.3,1.82,7.0,20.0,210.0,460.0,2.0,3.0,22.476661641019092,41.17131118650658,31.823986413762835
2352.0,"River Vamsadhara, Gara (V & M)",Andhra Pradesh,,"River Vamsadhara, Gara (V & M), Andhra Pradesh, India",18.3313111,84.0550885,29.88,73.0,3.09,Clouds,1,20.0,36.0,5.2,8.2,7.1,8.3,165.0,349.0,1.3,2.8,0.3,1.62,3.0,11.0,75.0,210.0,2.0,3.0,25.783440555750172,40.513437252628805,33.14843890418949
4348.0,"River Vamsadhara, Immediate Border Between Andhra Pradesh & Orissa States, Near Lalithamba Temple, Battili (V) Bhamini (M)",Andhra Pradesh,,"River Vamsadhara, Immediate Border Between Andhra Pradesh & Orissa States, Near Lalithamba Temple, Battili (V) Bhamini (M), Andhra Pradesh, India",19.0122905,83.7857627,28.0,79.0,1.42,Clouds,1,23.0,38.0,5.8,8.5,6.6,8.5,163.0,428.0,1.0,2.8,0.3,1.22,4.0,14.0,120.0,210.0,2.0,3.0,19.487698001805107,41.19826904396786,30.342983522886485
30040.0,"River Daman Ganga At Zeri Causeway Bridge, Daman (Gujarat And Ut Of Daman,Diu,Dadar & Nagar Haveli And Gujarat)","Daman And Diu, Dadra And Nagar Haveli",,"River Daman Ganga At Zeri Causeway Bridge, Daman (Gujarat And Ut Of Daman,Diu,Dadar & Nagar Haveli And Gujarat), Daman And Diu, Dadra And Nagar Haveli, India",22.6708317,71.5723953,29.03,70.0,4.21,Clouds,5,23.0,29.0,0.3,7.8,7.4,7.8,220.0,662.4912944738834,2.5,8.4,0.4129202168861347,2.5,95.31980715146645,636.0863579474343,395.1527835914609,1565.5568332596197,5.957692307692308,91.9023746701847,44.9856113290931,84.51156460913766,64.74858796911539
4372.0,"River Gostani Sample Before Confluence With M/S Delta Paper Mill Effluents, Vendra (V), Palakoderu (M)",Andhra Pradesh,,"River Gostani Sample Before Confluence With M/S Delta Paper Mill Effluents, Vendra (V), Palakoderu (M), Andhra Pradesh, India",16.578777,81.57434459999999,29.65,66.0,0.28,Clouds,0,24.0,30.0,0.3,5.6,7.1,8.1,714.0,662.4912944738834,2.5,3.3000373692077725,1.23,7.05,4.0,14.0,43.0,460.0,2.0,2.0,43.2455173159042,47.67535662253201,45.46043696921811
4373.0,"River Gostani Sample After Confluence With M/S Delta Papeer Mill Effluents, Bendra, Palakoderu (M), But Before Confluence With Yanamadurru Drain",Andhra Pradesh,,"River Gostani Sample After Confluence With M/S Delta Papeer Mill Effluents, Bendra, Palakoderu (M), But Before Confluence With Yanamadurru Drain, Andhra Pradesh, India",16.5796122,81.57575179999999,29.65,66.0,0.28,Clouds,0,25.0,30.0,0.3,5.5,7.1,7.9,698.0,662.4912944738834,2.6,3.3000373692077725,0.4129202168861347,6.98,4.0,15.0,120.0,460.0,2.0,2.0,44.03842918016799,46.666069066676236,45.35224912342211
4358.0,"River Gowthami (Godavari) Govalanka, Injaram (V), Near Gmc Balayogi Bridge, Tallarevu (M)",Andhra Pradesh,,"River Gowthami (Godavari) Govalanka, Injaram (V), Near Gmc Balayogi Bridge, Tallarevu (M), Andhra Pradesh, India",16.7308624,82.1786603,28.87,68.0,1.2,Clouds,0,25.0,28.0,6.0,7.4,6.8,7.9,226.0,662.4912944738834,2.0,2.4,0.0,1.73,3.0,9.0,39.0,240.0,2.0,3.0,28.554536669485934,36.13806139891922,32.34629903420257
4365.0,River Vasishta Godavari Upstream Of Narasapuram Town Before Confluence Of Town Sewage,Andhra Pradesh,,"River Vasishta Godavari Upstream Of Narasapuram Town Before Confluence Of Town Sewage, Andhra Pradesh, India",16.4383259,81.7007115,29.55,70.0,0.49,Clouds,0,24.0,32.0,5.4,8.1,6.1,8.4,154.0,662.4912944738834,1.2,2.6,0.3,1.72,4.0,21.0,93.0,240.0,2.0,3.0,18.8465092845452,39.609889601339496,29.228199442942348
4366.0,River Vasishta Godavari Downstream Of Narasapuram Town After Confluence Of Town Sewage,Andhra Pradesh,,"River Vasishta Godavari Downstream Of Narasapuram Town After Confluence Of Town Sewage, Andhra Pradesh, India",16.4383259,81.7007115,29.55,70.0,0.49,Clouds,0,22.0,32.0,5.0,7.2,7.5,8.2,345.0,662.4912944738834,1.0,2.9,0.0,2.25,7.0,15.0,210.0,460.0,2.0,3.0,25.937358689951093,42.32261134970571,34.1299850198284
5149.0,"River Bahuda At Ntr Jalasayam, Kalavagunta (V), Penumuru (M)",Andhra Pradesh,,"River Bahuda At Ntr Jalasayam, Kalavagunta (V), Penumuru (M), Andhra Pradesh, India",13.2832146,79.1329801,29.43,58.0,1.35,Clouds,4,24.0,30.0,5.1,6.0,7.6,8.1,257.53576807228916,1556.0,1.2,2.3,0.34,0.94,114.0,416.0,454.0,980.0,5.957692307692308,91.9023746701847,28.05370283563079,38.72979748812242,33.39175016187661
5155.0,"River Yeleru At Yeleru Reservoir,Yeleswaram (V & M)",Andhra Pradesh,,"River Yeleru At Yeleru Reservoir,Yeleswaram (V & M), Andhra Pradesh, India",17.3281998,82.06795199999999,27.79,74.0,1.95,Clouds,0,24.0,27.0,6.4,7.5,7.3,8.3,243.0,491.0,1.6,2.2,0.32,1.22,2.0,20.0,43.0,240.0,2.0,3.0,27.56195043081434,36.6458430884013,32.10389675960782
5135.0,"River Aie Near Rakhaldubi Dist., Bongaigaon, Assam",Assam,,"River Aie Near Rakhaldubi Dist., Bongaigaon, Assam, Assam, India",26.4921493,90.6456444,27.23,87.0,1.0,Clouds,3,20.0,33.0,5.1,5.5,6.8,7.4,130.0,178.0,2.0,2.6,0.6,1.3,360.0,730.0,1100.0,1500.0,5.957692307692308,290.0,30.073388970284167,38.01190102162362,34.04264499595389
5138.0,"River, Tunia U/S Brpl, Dhaligaon, Dist. Chirang, Assam",Assam,,"River, Tunia U/S Brpl, Dhaligaon, Dist. Chirang, Assam, Assam, India",26.4976984,90.521351,26.81,89.0,0.72,Clouds,3,21.0,35.0,4.4,5.4,6.9,7.5,130.0,168.0,2.0,2.7,0.6,2.1,360.0,720.0,910.0,1600.0,5.957692307692308,290.0,31.73305611629052,39.595892775002596,35.66447444564656
