Station Code,Monitoring Location,State,Temperature (°C) Min,Temperature (°C) Max,Dissolved Oxygen(mg/L) Min,Dissolved Oxygen(mg/L) Max,pH Min,pH Max,Conductivity(µmho/cm) Min,Conductivity(µmho/cm) Max,BOD(mg/L) Min,BOD(mg/L) Max,Nitrate N(mg/L) Min,Nitrate N(mg/L) Max,Fecal Coliform(MPN/100ml) Min,Fecal Coliform(MPN/100ml) Max,Total Coliform(MPN/100ml) Min,Total Coliform(MPN/100ml) Max,Fecal Streptococci(MPN/100ml) Min,Fecal Streptococci(MPN/100ml) Max,Type,full_address,Latitude,Longitude,Avg_Temp,Avg_Humidity,Avg_Wind,Weather_Main
1448.0,"River Nagavali At Thotapalli Regulator, Thotapalli (V), Garugubilli (M)",Andhra Pradesh,24.0,34.0,5.7,7.3,7.0,8.4,219.0,655.0,1.2,2.8,0.3,6.42,3.0,20.0,75.0,150.0,2.0,3.0,,"River Nagavali At Thotapalli Regulator, Thotapalli (V), Garugubilli (M), Andhra Pradesh, India",18.784865,83.5090195,29.14,71.0,2.15,Clouds
4351.0,"River Nagavali Immediate Border Between Andhra Pradesh & Orissa States, Near Sivalayam, Kuneru (V), Komarada (M)",Andhra Pradesh,24.0,34.0,5.2,7.5,6.8,8.3,192.0,501.0,1.0,2.9,0.32,3.3,7.0,20.0,120.0,240.0,2.0,3.0,,"River Nagavali Immediate Border Between Andhra Pradesh & Orissa States, Near Sivalayam, Kuneru (V), Komarada (M), Andhra Pradesh, India",18.9677927,83.43500619999999,27.1,82.0,2.05,Clouds
4346.0,"River Nagavali Near Nh- 16 Bridge, Upstream (U/S) Of Srikakulam Town, Before Confluence Of Town Sewage",Andhra Pradesh,24.0,37.0,5.8,7.6,6.4,8.4,289.0,396.0,1.3,2.6,0.32,2.12,4.0,11.0,120.0,240.0,2.0,3.0,,"River Nagavali Near Nh- 16 Bridge, Upstream (U/S) Of Srikakulam Town, Before Confluence Of Town Sewage, Andhra Pradesh, India",18.3142332,83.8755627,30.0,72.0,2.07,Clouds
4347.0,"River Nagavali Near Water Pump House (Killipalem) , Down Stream (D/S) Of Srikakulam Town, After Confluence Of Town Sewage",Andhra Pradesh,24.0,37.0,5.4,8.0,6.3,8.5,275.0,398.0,1.5,2.7,0.3,1.82,7.0,20.0,210.0,460.0,2.0,3.0,,"River Nagavali Near Water Pump House (Killipalem) , Down Stream (D/S) Of Srikakulam Town, After Confluence Of Town Sewage, Andhra Pradesh, India",18.27089033430217,83.9106808595696,29.98,73.0,2.47,Clouds
2352.0,"River Vamsadhara, Gara (V & M)",Andhra Pradesh,20.0,36.0,5.2,8.2,7.1,8.3,165.0,349.0,1.3,2.8,0.3,1.62,3.0,11.0,75.0,210.0,2.0,3.0,,"River Vamsadhara, Gara (V & M), Andhra Pradesh, India",18.3313111,84.0550885,29.88,73.0,3.09,Clouds
4348.0,"River Vamsadhara, Immediate Border Between Andhra Pradesh & Orissa States, Near Lalithamba Temple, Battili (V) Bhamini (M)",Andhra Pradesh,23.0,38.0,5.8,8.5,6.6,8.5,163.0,428.0,1.0,2.8,0.3,1.22,4.0,14.0,120.0,210.0,2.0,3.0,,"River Vamsadhara, Immediate Border Between Andhra Pradesh & Orissa States, Near Lalithamba Temple, Battili (V) Bhamini (M), Andhra Pradesh, India",19.0122905,83.7857627,28.0,79.0,1.42,Clouds
30040.0,"River Daman Ganga At Zeri Causeway Bridge, Daman (Gujarat And Ut Of Daman,Diu,Dadar & Nagar Haveli And Gujarat)","Daman And Diu, Dadra And Nagar Haveli",23.0,29.0,0.3,7.8,7.4,7.8,220.0,16362.0,2.5,8.4,1.33,2.5,35000.0,330000.0,92000.0,2200000.0,,,,"River Daman Ganga At Zeri Causeway Bridge, Daman (Gujarat And Ut Of Daman,Diu,Dadar & Nagar Haveli And Gujarat), Daman And Diu, Dadra And Nagar Haveli, India",22.6708317,71.5723953,29.03,70.0,4.21,Clouds
4372.0,"River Gostani Sample Before Confluence With M/S Delta Paper Mill Effluents, Vendra (V), Palakoderu (M)",Andhra Pradesh,24.0,30.0,0.3,5.6,7.1,8.1,714.0,5160.0,2.5,15.0,1.23,7.05,4.0,14.0,43.0,460.0,2.0,2.0,,"River Gostani Sample Before Confluence With M/S Delta Paper Mill Effluents, Vendra (V), Palakoderu (M), Andhra Pradesh, India",16.578777,81.57434459999999,29.65,66.0,0.28,Clouds
4373.0,"River Gostani Sample After Confluence With M/S Delta Papeer Mill Effluents, Bendra, Palakoderu (M), But Before Confluence With Yanamadurru Drain",Andhra Pradesh,25.0,30.0,0.3,5.5,7.1,7.9,698.0,4940.0,2.6,16.0,1.38,6.98,4.0,15.0,120.0,460.0,2.0,2.0,,"River Gostani Sample After Confluence With M/S Delta Papeer Mill Effluents, Bendra, Palakoderu (M), But Before Confluence With Yanamadurru Drain, Andhra Pradesh, India",16.5796122,81.57575179999999,29.65,66.0,0.28,Clouds
4358.0,"River Gowthami (Godavari) Govalanka, Injaram (V), Near Gmc Balayogi Bridge, Tallarevu (M)",Andhra Pradesh,25.0,28.0,6.0,7.4,6.8,7.9,226.0,45200.0,2.0,2.4,0.0,1.73,3.0,9.0,39.0,240.0,2.0,3.0,,"River Gowthami (Godavari) Govalanka, Injaram (V), Near Gmc Balayogi Bridge, Tallarevu (M), Andhra Pradesh, India",16.7308624,82.1786603,28.87,68.0,1.2,Clouds
